municipio,regiao,ano,tipo_crime,quantidade,fonte
Estado do Paraná,-,2018,Armas de Fogo Apreendidas,6267.0,Crimes gerais
Estado do Paraná,-,2019,Armas de Fogo Apreendidas,6150.0,Crimes gerais
Estado do Paraná,-,2020,Armas de Fogo Apreendidas,7129.0,Crimes gerais
Estado do Paraná,-,2021,Armas de Fogo Apreendidas,6666.0,Crimes gerais
Estado do Paraná,-,2022,Armas de Fogo Apreendidas,6216.0,Crimes gerais
Estado do Paraná,-,2023,Armas de Fogo Apreendidas,6317.0,Crimes gerais
Estado do Paraná,-,2024,Armas de Fogo Apreendidas,5686.0,Crimes gerais
Estado do Paraná,-,2018,Crimes de Ameaça,110917.0,Crimes gerais
Estado do Paraná,-,2019,Crimes de Ameaça,115578.0,Crimes gerais
Estado do Paraná,-,2020,Crimes de Ameaça,96938.0,Crimes gerais
Estado do Paraná,-,2021,Crimes de Ameaça,97683.0,Crimes gerais
Estado do Paraná,-,2022,Crimes de Ameaça,98132.0,Crimes gerais
Estado do Paraná,-,2023,Crimes de Ameaça,112320.0,Crimes gerais
Estado do Paraná,-,2024,Crimes de Ameaça,112210.0,Crimes gerais
Estado do Paraná,-,2018,Crimes de Estelionato,29856.0,Crimes gerais
Estado do Paraná,-,2019,Crimes de Estelionato,40701.0,Crimes gerais
Estado do Paraná,-,2020,Crimes de Estelionato,70543.0,Crimes gerais
Estado do Paraná,-,2021,Crimes de Estelionato,117450.0,Crimes gerais
Estado do Paraná,-,2022,Crimes de Estelionato,142183.0,Crimes gerais
Estado do Paraná,-,2023,Crimes de Estelionato,147993.0,Crimes gerais
Estado do Paraná,-,2024,Crimes de Estelionato,160637.0,Crimes gerais
Estado do Paraná,-,2018,Crimes de Estupro,6691.0,Crimes gerais
Estado do Paraná,-,2019,Crimes de Estupro,6828.0,Crimes gerais
Estado do Paraná,-,2020,Crimes de Estupro,5864.0,Crimes gerais
Estado do Paraná,-,2021,Crimes de Estupro,5959.0,Crimes gerais
Estado do Paraná,-,2022,Crimes de Estupro,6548.0,Crimes gerais
Estado do Paraná,-,2023,Crimes de Estupro,7315.0,Crimes gerais
Estado do Paraná,-,2024,Crimes de Estupro,7530.0,Crimes gerais
Estado do Paraná,-,2018,Crimes de Furto,172033.0,Crimes gerais
Estado do Paraná,-,2019,Crimes de Furto,156034.0,Crimes gerais
Estado do Paraná,-,2020,Crimes de Furto,140649.0,Crimes gerais
Estado do Paraná,-,2021,Crimes de Furto,157445.0,Crimes gerais
Estado do Paraná,-,2022,Crimes de Furto,177931.0,Crimes gerais
Estado do Paraná,-,2023,Crimes de Furto,165094.0,Crimes gerais
Estado do Paraná,-,2024,Crimes de Furto,147773.0,Crimes gerais
Estado do Paraná,-,2018,Crimes de Lesão Corporal,64417.0,Crimes gerais
Estado do Paraná,-,2019,Crimes de Lesão Corporal,67923.0,Crimes gerais
Estado do Paraná,-,2020,Crimes de Lesão Corporal,58331.0,Crimes gerais
Estado do Paraná,-,2021,Crimes de Lesão Corporal,59003.0,Crimes gerais
Estado do Paraná,-,2022,Crimes de Lesão Corporal,61003.0,Crimes gerais
Estado do Paraná,-,2023,Crimes de Lesão Corporal,70463.0,Crimes gerais
Estado do Paraná,-,2024,Crimes de Lesão Corporal,76422.0,Crimes gerais
Estado do Paraná,-,2018,Crimes de Roubo,60096.0,Crimes gerais
Estado do Paraná,-,2019,Crimes de Roubo,48824.0,Crimes gerais
Estado do Paraná,-,2020,Crimes de Roubo,33296.0,Crimes gerais
Estado do Paraná,-,2021,Crimes de Roubo,26651.0,Crimes gerais
Estado do Paraná,-,2022,Crimes de Roubo,25551.0,Crimes gerais
Estado do Paraná,-,2023,Crimes de Roubo,23640.0,Crimes gerais
Estado do Paraná,-,2024,Crimes de Roubo,18144.0,Crimes gerais
Estado do Paraná,-,2018,Furtos de Veículos,17678.0,Crimes gerais
Estado do Paraná,-,2019,Furtos de Veículos,16022.0,Crimes gerais
Estado do Paraná,-,2020,Furtos de Veículos,12102.0,Crimes gerais
Estado do Paraná,-,2021,Furtos de Veículos,11689.0,Crimes gerais
Estado do Paraná,-,2022,Furtos de Veículos,13805.0,Crimes gerais
Estado do Paraná,-,2023,Furtos de Veículos,12609.0,Crimes gerais
Estado do Paraná,-,2024,Furtos de Veículos,11261.0,Crimes gerais
Estado do Paraná,-,2018,Ocorrências Envolvendo Tráfico de Drogas,11869.0,Crimes gerais
Estado do Paraná,-,2019,Ocorrências Envolvendo Tráfico de Drogas,12414.0,Crimes gerais
Estado do Paraná,-,2020,Ocorrências Envolvendo Tráfico de Drogas,13836.0,Crimes gerais
Estado do Paraná,-,2021,Ocorrências Envolvendo Tráfico de Drogas,12417.0,Crimes gerais
Estado do Paraná,-,2022,Ocorrências Envolvendo Tráfico de Drogas,10103.0,Crimes gerais
Estado do Paraná,-,2023,Ocorrências Envolvendo Tráfico de Drogas,12277.0,Crimes gerais
Estado do Paraná,-,2024,Ocorrências Envolvendo Tráfico de Drogas,13429.0,Crimes gerais
Estado do Paraná,-,2018,Ocorrências Envolvendo Uso/Consumo de Drogas,16172.0,Crimes gerais
Estado do Paraná,-,2019,Ocorrências Envolvendo Uso/Consumo de Drogas,15063.0,Crimes gerais
Estado do Paraná,-,2020,Ocorrências Envolvendo Uso/Consumo de Drogas,12810.0,Crimes gerais
Estado do Paraná,-,2021,Ocorrências Envolvendo Uso/Consumo de Drogas,11416.0,Crimes gerais
Estado do Paraná,-,2022,Ocorrências Envolvendo Uso/Consumo de Drogas,8899.0,Crimes gerais
Estado do Paraná,-,2023,Ocorrências Envolvendo Uso/Consumo de Drogas,13365.0,Crimes gerais
Estado do Paraná,-,2024,Ocorrências Envolvendo Uso/Consumo de Drogas,14261.0,Crimes gerais
Estado do Paraná,-,2018,Perturbação do Sossego/Tranquilidade,28994.0,Crimes gerais
Estado do Paraná,-,2019,Perturbação do Sossego/Tranquilidade,31850.0,Crimes gerais
Estado do Paraná,-,2020,Perturbação do Sossego/Tranquilidade,34313.0,Crimes gerais
Estado do Paraná,-,2021,Perturbação do Sossego/Tranquilidade,31852.0,Crimes gerais
Estado do Paraná,-,2022,Perturbação do Sossego/Tranquilidade,31540.0,Crimes gerais
Estado do Paraná,-,2023,Perturbação do Sossego/Tranquilidade,40336.0,Crimes gerais
Estado do Paraná,-,2024,Perturbação do Sossego/Tranquilidade,42558.0,Crimes gerais
Estado do Paraná,-,2018,Roubos de Veículos,7885.0,Crimes gerais
Estado do Paraná,-,2019,Roubos de Veículos,5784.0,Crimes gerais
Estado do Paraná,-,2020,Roubos de Veículos,4462.0,Crimes gerais
Estado do Paraná,-,2021,Roubos de Veículos,4039.0,Crimes gerais
Estado do Paraná,-,2022,Roubos de Veículos,3507.0,Crimes gerais
Estado do Paraná,-,2023,Roubos de Veículos,3040.0,Crimes gerais
Estado do Paraná,-,2024,Roubos de Veículos,2105.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Armas de Fogo Apreendidas,7.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Armas de Fogo Apreendidas,2.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Armas de Fogo Apreendidas,1.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Armas de Fogo Apreendidas,8.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Armas de Fogo Apreendidas,1.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Armas de Fogo Apreendidas,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Armas de Fogo Apreendidas,1.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Crimes de Ameaça,101.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Crimes de Ameaça,80.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Crimes de Ameaça,70.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Crimes de Ameaça,69.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Crimes de Ameaça,70.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Crimes de Ameaça,52.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Crimes de Ameaça,82.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Crimes de Estelionato,3.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Crimes de Estelionato,10.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Crimes de Estelionato,23.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Crimes de Estelionato,34.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2022,Crimes de Estelionato,51.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2023,Crimes de Estelionato,43.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2024,Crimes de Estelionato,71.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2018,Crimes de Estupro,5.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2019,Crimes de Estupro,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2020,Crimes de Estupro,4.0,Crimes gerais
Abatiá,RGI de Santo Antônio da Platina,2021,Crimes de Estupro,3.0,Crimes gerais
